Date,High,Low,Open,Close,Volume,Adj Close,5-DayEMA,20-DayEMA,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,CCI,OBV,EMA_Reversal,EMA_Trend,StoReversal,MACDTrend,OBVTrend,CCITrend,Returns,MarketTrend
1998-03-09,106.2186965942,105.25,105.5311965942,105.5625,3362800,72.2177429199,105.2106661832,104.866647981,101.0867,103.7711,106.4555,1.7774,-0.1155,1.8929,58.4805,68.3595,115.2325,34236200,0.3440182022,Up,NoReversal,Down,Down,Reversal,0.0035523979,Up
1998-03-10,106.8436965942,105.9375,106.2186965942,106.5625,5481900,72.9018554688,105.6636047585,105.0885740111,101.3434,104.0351,106.7269,1.8102,-0.0661,1.8763,71.3924,90.3158,143.5449,39718100,0.5750307475,Up,NoReversal,Reversal,Up,Reversal,-0.0093841642,Reversal
1998-03-11,107.3125,106.7811965942,106.9686965942,107.0625,3439600,73.2439422607,106.131505962,105.3380037538,101.4105,104.2758,107.141,1.8552,-0.0169,1.8721,82.3287,88.3108,155.5552,43157700,0.7935022083,Up,NoReversal,Reversal,Up,Reversal,-0.0046701693,Reversal
1998-03-12,107.5936965942,106.5,107.0936965942,107.5,3191300,73.5432281494,106.58871475,105.6029521809,101.5256,104.543,107.5603,1.9042,0.0257,1.8785,91.0301,94.4636,146.1552,46349000,0.9857625691,Up,NoReversal,Reversal,Up,Reversal,-0.0040697674,Reversal
1998-03-13,108,106.875,107.8436965942,107.0936965942,2879400,73.2652893066,106.7572986901,105.7807834401,101.6949,104.768,107.841,1.8885,0.008,1.8805,89.5981,86.02,138.6095,43469600,0.9765152501,Up,NoReversal,Reversal,Down,Reversal,0.0037939059,Reversal
1998-03-16,108.375,107.5311965942,107.8436965942,108.25,3223600,74.056312561,107.2553713168,106.0684186332,101.9268,105.0805,108.2341,1.9469,0.0531,1.8938,88.933,86.3156,160.7583,46693200,1.1869526836,Up,NoReversal,Reversal,Up,Reversal,-0.0106817867,Reversal
1998-03-17,108.5625,107.6561965942,108.3125,108.5625,4581900,74.2701263428,107.6913758958,106.3529048577,102.1169,105.3836,108.6502,1.9954,0.0813,1.9141,86.5469,87.3051,149.9396,51275100,1.3384710381,Up,NoReversal,Reversal,Up,Reversal,-0.0028785262,Reversal
1998-03-18,108.9686965942,108.0311965942,108.25,108.9686965942,1944100,74.5479888916,108.1173416121,106.6457604905,102.1704,105.6601,109.1499,2.043,0.1031,1.9399,90.6371,98.2906,145.0513,53219200,1.4715811216,Up,NoReversal,Up,Up,Reversal,-0.0037276448,Up
1998-03-19,109.375,108.6561965942,108.9686965942,109.25,2554800,74.7404556274,108.4950079832,106.9325283896,102.398,105.9781,109.5582,2.0795,0.1117,1.9678,94.643,98.3333,141.526,55774000,1.5624795935,Up,NoReversal,Up,Up,Reversal,-0.0025748595,Up
1998-03-20,110.1875,108.875,109.5625,109.875,3123300,75.3840026855,108.9550975635,107.2517910907,102.4957,106.289,110.0824,2.1343,0.1332,2.0011,97.0119,94.4118,143.0785,58897300,1.7033064728,Up,NoReversal,Up,Up,Reversal,-0.0056882821,Up
1998-03-23,110.3125,109.4061965942,109.7186965942,109.625,4453100,75.2124938965,109.1784282254,107.5059173229,102.6538,106.5672,110.4805,2.1329,0.1054,2.0275,92.8432,85.7846,131.012,54444200,1.6725109025,Up,NoReversal,Up,Down,Reversal,0.0022805017,Up
1998-03-24,110.8125,109.9375,110.0625,110.5625,3333600,75.8556747437,109.6398265964,107.8293891538,102.9615,106.9328,110.9041,2.1823,0.1239,2.0584,88.2171,84.455,139.2417,57777800,1.8104374426,Up,NoReversal,Up,Up,Reversal,-0.0084793669,Up
1998-03-25,111.5311965942,109.1875,111.4061965942,110.1561965942,4597600,75.5769271851,109.8119601543,108.0730500492,103.1669,107.214,111.2612,2.1638,0.0843,2.0795,80.8914,72.4345,120.3544,53180200,1.7389101051,Up,NoReversal,Reversal,Down,Reversal,0.0036884299,Reversal
1998-03-26,110.75,109.625,109.875,110.0936965942,3333500,75.5340423584,109.9058760202,108.2826627752,103.3493,107.4625,111.5757,2.1196,0.032,2.0875,73.3039,63.0222,103.0697,49846700,1.623213245,Up,NoReversal,Reversal,Down,Reversal,0.0005676983,Reversal
1998-03-27,110.7811965942,109,110.75,109.625,2611300,75.2124938965,109.8122482082,108.4207374897,103.6183,107.6875,111.7567,2.0234,-0.0513,2.0747,58.7908,40.9157,80.8905,47235400,1.3915107186,Up,NoReversal,Reversal,Down,NoReversal,0.0042754535,Reversal
1998-03-30,110.0936965942,108.9686965942,109.625,109.5625,3108700,75.1695785522,109.7289973402,108.5372922689,103.9836,107.9203,111.857,1.92,-0.1237,2.0438,45.0622,31.2486,64.8997,44126700,1.1917050713,Up,NoReversal,Down,Down,NoReversal,0.0005704507,Up
1998-03-31,111.1875,109.75,110.1561965942,109.9375,5926500,75.4268951416,109.7984990423,108.6792581926,104.2766,108.1422,112.0078,1.847,-0.1574,2.0044,33.5738,28.5572,86.5385,50053200,1.1192408497,Up,NoReversal,Down,Up,NoReversal,-0.003411029,Up
1998-04-01,111.0781021118,109.4061965942,110.3125,110.8281021118,2929000,76.0378952026,110.1417027502,108.8957957882,104.7273,108.443,112.1587,1.8399,-0.1316,1.9715,36.0222,48.2606,85.791,52982200,1.245906962,Up,NoReversal,Down,Up,NoReversal,-0.0080358871,Up
1998-04-02,112.25,110.75,110.9375,112.0311965942,3920900,76.8633422852,110.7715373162,109.2100100778,105.464,108.8523,112.2406,1.9093,-0.0498,1.9591,49.4883,71.647,131.5928,56903100,1.5615272384,Up,NoReversal,Reversal,Up,Reversal,-0.0107389238,Reversal
1998-04-03,112.8125,111.8436965942,112.3436965942,112.5936965942,3787600,77.2492828369,111.3789258539,109.5474270251,105.7012,109.1851,112.6691,1.9867,0.0221,1.9646,70.1294,90.4805,154.6327,60690700,1.8314988289,Up,NoReversal,Reversal,Up,Reversal,-0.0049958392,Reversal
1998-04-06,113.375,111.6875,113.25,111.6875,4550500,76.6275634766,111.481784141,109.7598804722,106.268,109.4914,112.7148,1.9525,-0.0097,1.9622,81.2781,81.7068,139.3374,56140200,1.7219036688,Up,NoReversal,Reversal,Down,Reversal,0.0081136796,Reversal
1998-04-07,111.9375,110.1561965942,111.75,110.9375,5583700,76.112953186,111.3003558137,109.8763174666,106.7266,109.7101,112.6937,1.8436,-0.0949,1.9385,78.5482,63.4573,73.3401,50556500,1.4240383471,Up,NoReversal,Reversal,Down,NoReversal,0.0067605634,Reversal
1998-04-08,111.2811965942,109.75,111.2186965942,110.3125,4854800,75.6841659546,110.9710702032,109.9192886868,107.1402,109.8726,112.6051,1.6874,-0.2008,1.8882,60.786,37.1939,36.8272,45701700,1.0517815164,Up,NoReversal,Down,Down,NoReversal,0.0056657224,Up
1998-04-09,111.2811965942,110.5311965942,110.5625,111.1875,4481200,76.2845001221,111.0432135184,110.0438202761,107.4977,110.057,112.6164,1.6156,-0.2181,1.8337,43.9677,31.252,64.1048,50182900,0.9993932422,Up,NoReversal,Down,Up,NoReversal,-0.0078695897,Up
1998-04-13,111.375,110,111.375,110.875,4350200,76.0701065063,110.9871423199,110.1251970969,108.0586,110.2461,112.4335,1.516,-0.2542,1.7702,32.3938,28.7356,41.6188,45832700,0.861945223,Up,NoReversal,Down,Down,NoReversal,0.0028184893,Up
1998-04-14,111.8125,110.9061965942,111.125,111.8125,3279100,76.7132720947,111.2622616306,110.2899534096,108.3381,110.4242,112.5103,1.4955,-0.2197,1.7152,38.3265,54.9918,92.3857,49111800,0.972308221,Up,NoReversal,Down,Up,NoReversal,-0.0083845724,Up
1998-04-15,112.125,111.1561965942,111.9686965942,112.125,3867200,76.9277191162,111.5498411456,110.4687059213,108.5749,110.6023,112.6297,1.4873,-0.1823,1.6697,52.9447,75.1067,104.1233,52979000,1.0811352243,Up,NoReversal,Down,Up,Reversal,-0.002787068,Up
1998-04-16,111.5,110.5,111.3125,110.8125,7177900,76.0272064209,111.3040607304,110.5021224304,108.81,110.6945,112.579,1.3593,-0.2483,1.6076,69.2018,77.507,24.7103,45801100,0.8019382999,Up,NoReversal,Down,Down,NoReversal,0.0118443316,Up
1998-04-17,112.4375,110.4375,110.7186965942,112.2811965942,5688800,77.0348358154,111.6297727144,110.6747085552,108.9631,110.8461,112.7291,1.3606,-0.1976,1.5582,76.6293,77.2743,85.9199,51489900,0.9550641592,Up,NoReversal,Down,Up,NoReversal,-0.0130805214,Up
1998-04-20,112.5625,111.875,112,112.25,3688300,77.0134429932,111.8365151554,110.8272557918,109.0426,110.9648,112.887,1.3436,-0.1716,1.5153,75.7179,72.3723,119.032,47801600,1.0092593636,Up,NoReversal,Down,Down,Reversal,0.0002779207,Up
1998-04-21,113.1561965942,111.9061965942,112.4375,112.7811965942,4573200,77.3778762817,112.151408981,111.016168332,109.1488,111.1226,113.0965,1.3574,-0.1263,1.4837,79.3365,88.3628,134.2427,52374800,1.135240649,Up,NoReversal,Down,Up,Reversal,-0.0047099748,Up
1998-04-22,113.4375,112.8125,112.875,113.0936965942,2386100,77.5923156738,112.4655048605,111.2167398844,109.117,111.2492,113.3814,1.3777,-0.0848,1.4625,82.4718,86.6802,149.577,54760900,1.2487649761,Up,NoReversal,Reversal,Up,Reversal,-0.0027631956,Reversal
1998-04-23,113,111.75,112.625,112,5062000,76.8419342041,112.3103365709,111.2922598719,109.2471,111.3414,113.4357,1.2906,-0.1375,1.4281,83.551,75.61,73.7705,49698900,1.018076699,Up,NoReversal,Down,Down,NoReversal,0.0097651482,Up
1998-04-24,112.4686965942,110.3436965942,111.75,110.8125,11039700,76.0272064209,111.811057708,111.2460571133,109.3462,111.3773,113.4085,1.1129,-0.2521,1.3651,71.4052,51.9254,-11.7357,38659200,0.5650005947,Up,NoReversal,Down,Down,NoReversal,0.0107163001,Up
1998-04-27,109.6875,107.625,109.375,108.7186965942,14510200,74.5906829834,110.7802706619,111.002921517,109.1146,111.332,113.5494,0.794,-0.4568,1.2509,52.0732,28.6842,-201.9286,24149000,-0.2226508551,Down,NoReversal,Down,Down,Reversal,0.0192589083,Down
1998-04-28,109.8125,108.125,109.7811965942,108.5625,6511400,74.483505249,110.0410137707,110.7683755106,108.8707,111.282,113.6934,0.5227,-0.5826,1.1052,32.4363,16.6994,-179.7712,17637600,-0.72736174,Down,NoReversal,Down,Down,Reversal,0.0014387712,Down
1998-04-29,109.9686965942,108.4375,109.0311965942,109.3125,7703100,74.9980773926,109.7981758463,110.6285747752,108.7558,111.2508,113.7458,0.364,-0.593,0.957,22.4991,22.1136,-137.6799,25340700,-0.8303989289,Down,NoReversal,Down,Up,Reversal,-0.0068610635,Down
1998-04-30,111.9217987061,110.4061965942,110.5625,111.3436965942,8684500,76.3916931152,110.3133494301,110.6971904824,108.7889,111.2765,113.7642,0.3975,-0.4476,0.8451,26.7486,41.4328,-1.5817,34025200,-0.3838410523,Down,NoReversal,Down,Up,NoReversal,-0.0182425827,Down
1998-05-01,112.5936965942,111.3125,111.75,112.5936965942,4008800,77.2492828369,111.0734651527,110.8790302366,108.7712,111.3047,113.8381,0.5189,-0.2609,0.7799,44.312,69.3898,63.7758,38034000,0.1944349161,Up,NoReversal,Down,Up,NoReversal,-0.0111018648,Up
1998-05-04,113.3125,112.1561965942,112.7186965942,112.3125,4537200,77.056350708,111.4864767689,111.016385027,108.783,111.2906,113.7982,0.5857,-0.1553,0.741,65.5516,85.8323,92.6507,33496800,0.4700917419,Up,NoReversal,Down,Down,NoReversal,0.0025036981,Up
1998-05-05,112.1561965942,111.125,112,111.5311965942,5146400,76.5202789307,111.5013833773,111.0656854915,108.7792,111.2828,113.7864,0.5691,-0.1376,0.7066,78.8722,81.3944,26.0843,28350400,0.4356978858,Up,NoReversal,Down,Down,NoReversal,0.0070052454,Up
1998-05-06,112.125,110.1875,112.125,110.2186965942,5526100,75.6198348999,111.0738211161,110.9846170073,108.7041,111.2469,113.7896,0.4448,-0.2094,0.6543,71.8735,48.3939,-28.5228,22824300,0.0892041088,Reversal,NoReversal,Down,Down,NoReversal,0.011908143,Reversal
1998-05-07,110.5625,109.3436965942,110.5,109.3436965942,6940400,75.0194702148,110.4971129419,110.8276330301,108.5515,111.1984,113.8453,0.2726,-0.3053,0.5779,50.4249,21.4863,-100.9748,15883900,-0.3305200882,Down,NoReversal,Down,Down,Reversal,0.0080022903,Down
1998-05-08,111.375,110,110,111.125,7951000,76.2416229248,110.706408628,110.8560693745,108.5482,111.1953,113.8424,0.2767,-0.241,0.5177,28.3913,15.2936,-24.8699,23834900,-0.1496607465,Down,NoReversal,Down,Up,NoReversal,-0.0160297269,Down
1998-05-11,112.2186965942,110.375,111.5625,110.75,6336300,75.9843063354,110.7209390853,110.8459302109,108.5384,111.189,113.8397,0.2468,-0.2167,0.4635,22.6819,31.2658,-6.9391,17498600,-0.1249911256,Down,NoReversal,Down,Down,NoReversal,0.0033860045,Down
1998-05-12,111.9686965942,110.3436965942,110.8125,111.9375,6045200,76.7990570068,111.1264593903,110.9502365876,108.5382,111.1953,113.8524,0.3153,-0.1186,0.4339,35.9661,61.3389,14.6938,23543800,0.1762228026,Up,NoReversal,Down,Up,NoReversal,-0.0106085985,Up
1998-05-13,112.5625,111.5936965942,112.0625,112.2186965942,4441500,76.9919815063,111.4905384583,111.0714073823,108.536,111.2,113.8639,0.3878,-0.0368,0.4247,56.2519,76.151,62.6091,27985300,0.419131076,Up,NoReversal,Reversal,Up,NoReversal,-0.0025057909,Reversal
1998-05-14,112.6875,111.3436965942,111.5311965942,111.6561965942,4187500,76.6060409546,111.5457578369,111.1272538297,108.5774,111.2422,113.9069,0.3954,-0.0235,0.4188,72.626,80.388,42.6975,23797800,0.4185040072,Up,NoReversal,Reversal,Down,NoReversal,0.0050377858,Reversal
1998-05-15,112.2186965942,110.8125,112,111.0311965942,6716100,76.1772842407,111.3742374227,111.1180829027,108.557,111.1797,113.8023,0.3469,-0.0575,0.4044,72.2105,60.0925,6.9504,17081700,0.25615452,Up,NoReversal,Reversal,Down,NoReversal,0.0056290486,Reversal
1998-05-18,111.5936965942,109.8281021118,110.7186965942,110.5936965942,4847200,75.8770828247,111.1140571465,111.0680296568,108.5102,111.0968,113.6835,0.2701,-0.1075,0.3776,59.9083,39.2444,-35.6094,12234500,0.0460274898,Reversal,NoReversal,Down,Down,NoReversal,0.0039559217,Reversal
1998-05-19,111.6875,110.7811965942,111,111.3436965942,5918700,76.3916931152,111.1906036291,111.0943367637,108.5522,111.025,113.4978,0.2666,-0.0887,0.3554,45.2358,36.3705,12.0711,18153200,0.0962668654,Reversal,NoReversal,Reversal,Up,NoReversal,-0.0067358999,Reversal
1998-05-20,112.5,110.875,112.0936965942,112.4061965942,5716600,77.1206359863,111.5958012841,111.2195044358,108.6167,110.9906,113.3645,0.3456,-0.0078,0.3534,44.0873,56.6469,68.7835,23869800,0.3762968483,Up,NoReversal,Reversal,Up,NoReversal,-0.0094523259,Reversal
1998-05-21,112.7811965942,111.3125,112.375,111.6875,6301500,76.6275634766,111.6263675227,111.2641492267,108.6238,110.975,113.3261,0.3463,-0.0057,0.352,53.9092,68.7102,70.9937,17568300,0.3622182961,Up,NoReversal,Reversal,Down,NoReversal,0.0064348884,Reversal
1998-05-22,112.0625,110.9375,111.75,111.25,4862200,76.3273620605,111.5009116818,111.2627996633,108.644,110.9968,113.3497,0.3079,-0.0352,0.3432,64.1497,67.092,29.3445,12706100,0.2381120186,Up,NoReversal,Reversal,Down,NoReversal,0.0039325843,Reversal
1998-05-26,112.0936965942,109.1875,112.0936965942,109.4686965942,6899300,75.105255127,110.8235066526,111.091701226,108.8074,111.0343,113.2613,0.1323,-0.1687,0.301,58.4828,39.6462,-78.1474,5806800,-0.2681945734,Down,NoReversal,Down,Down,NoReversal,0.0162722629,Down
1998-05-27,109.9061965942,107.5781021118,108.5311965942,109.625,10202600,75.2124938965,110.4240044351,110.9518442032,109.0569,111.0875,113.1181,0.0056,-0.2363,0.2419,46.1698,31.7714,-190.8187,16009400,-0.5278397682,Down,NoReversal,Down,Up,Reversal,-0.0014258007,Down
1998-05-28,110.375,109.0625,109.875,110.125,4907600,75.5555496216,110.3243362901,110.8730098294,109.2119,111.1281,113.0443,-0.0538,-0.2366,0.1828,34.4852,32.0381,-125.5098,20917000,-0.5486735393,Down,NoReversal,Down,Up,Reversal,-0.0045402951,Down
1998-05-29,110.8125,109.0311965942,110.625,109.0311965942,4772600,74.8050613403,109.8932897248,110.6974231074,108.8939,111.0125,113.1311,-0.187,-0.2958,0.1088,34.6553,40.1564,-124.5896,16144400,-0.8041333827,Down,NoReversal,Down,Down,Reversal,0.0100320224,Down
1998-06-01,110.2186965942,108.5625,108.9686965942,109.5311965942,6092200,75.1481018066,109.7725920146,110.5862531323,108.7777,110.8593,112.941,-0.2493,-0.2865,0.0372,37.885,41.4605,-122.3912,22236600,-0.8136611177,Down,NoReversal,Down,Up,Reversal,-0.0045649095,Down
1998-06-02,110.3436965942,109.1561965942,110,109.625,6701100,75.2124938965,109.7233946764,110.4946300629,108.6894,110.725,112.7606,-0.2878,-0.26,-0.0278,42.6186,46.239,-90.1995,28937700,-0.7712353865,Down,NoReversal,Down,Up,NoReversal,-0.0008556753,Down
1998-06-03,110.1875,107.875,109.875,107.875,6445100,74.0118179321,109.1072631176,110.2449561993,108.196,110.5422,112.8883,-0.4543,-0.3412,-0.1131,41.0707,35.5125,-149.934,22492600,-1.1376930817,Down,NoReversal,Down,Down,Reversal,0.0162224797,Down
1998-06-04,110.0625,108.0625,108.25,109.875,6566300,75.3840026855,109.3631754117,110.2096986023,108.1646,110.525,112.8853,-0.42,-0.2455,-0.1745,41.8472,43.7901,-86.7627,29058900,-0.8465231906,Down,NoReversal,Down,Up,NoReversal,-0.0182025028,Down
1998-06-05,112,109.875,110.375,112,8463200,76.8419342041,110.2421169412,110.3803071402,108.2794,110.6578,113.0362,-0.2189,-0.0355,-0.1834,45.1103,56.0284,45.205,37522100,-0.1381901991,Down,NoReversal,Reversal,Up,NoReversal,-0.0189732143,Reversal
1998-06-08,112.4686965942,111.6561965942,111.9375,111.875,4159900,76.7561721802,110.7864112941,110.5227371254,108.2655,110.6953,113.1251,-0.0687,0.0917,-0.1604,61.624,85.0536,86.757,33362200,0.2636741687,Up,NoReversal,Reversal,Down,NoReversal,0.0011173184,Reversal
1998-06-09,112.4217987061,111.4061965942,111.7186965942,112.2186965942,2725300,76.9919815063,111.2638397275,110.6843374366,108.2496,110.7687,113.2878,0.0771,0.19,-0.1129,78.32,93.8779,81.4248,36087500,0.5795022909,Up,NoReversal,Up,Up,NoReversal,-0.0030627391,Up
1998-06-10,113.0625,111.25,111.625,111.5,6186900,76.4988632202,111.3425598183,110.7620545525,108.2614,110.7468,113.2323,0.1331,0.1968,-0.0637,87.4642,83.4612,73.0078,29900600,0.5805052658,Up,NoReversal,Up,Down,NoReversal,0.0064457094,Up
1998-06-11,111.875,109.375,111.4375,109.4061965942,8056600,75.0623779297,110.6971054103,110.6328726362,108.1517,110.6062,113.0608,0.0085,0.0578,-0.0493,77.3523,54.7179,-31.0788,21844000,0.0642327741,Reversal,NoReversal,Reversal,Down,NoReversal,0.0191378868,Reversal
1998-06-12,110.4375,108.25,109.875,110.4375,9779000,75.7699584961,110.6105702735,110.6142588629,108.138,110.5453,112.9526,-0.007,0.0338,-0.0408,58.8431,38.3502,-58.2257,31623000,-0.0036885894,Reversal,NoReversal,Reversal,Up,NoReversal,-0.0093383444,Reversal
1998-06-15,109.9061965942,107.5,108.8125,107.5311965942,10234200,73.7759628296,109.5841123804,110.3205360076,107.6422,110.3703,113.0984,-0.2509,-0.1681,-0.0828,36.2295,15.6205,-133.223,21388800,-0.7364236271,Down,NoReversal,Down,Down,Reversal,0.0270275371,Down
1998-06-16,109.2186965942,107.75,108.4061965942,109.1875,7471500,74.912322998,109.4519082536,110.2125952729,107.5265,110.3,113.0735,-0.307,-0.1793,-0.1277,26.4738,25.4508,-96.597,28860300,-0.7606870193,Down,NoReversal,Down,Up,NoReversal,-0.01516935,Down
1998-06-17,111.7811965942,109.9375,110.1561965942,111.4686965942,12057700,76.4774093628,110.1241710338,110.3322566114,107.5228,110.3062,113.0897,-0.1655,-0.0302,-0.1352,27.2028,40.537,44.8873,40918000,-0.2080855776,Down,NoReversal,Reversal,Up,NoReversal,-0.0204649078,Reversal
1998-06-18,111.4375,110.75,111.1875,110.9686965942,3844600,76.1343536377,110.4056795539,110.3928849062,107.6014,110.2344,112.8673,-0.0926,0.0341,-0.1267,44.4484,67.3573,49.2565,37073400,0.0127946477,Reversal,NoReversal,Reversal,Down,NoReversal,0.0045057752,Reversal
1998-06-19,111.2342987061,109.625,111.0625,110.0625,3549100,75.7529373169,110.2912863693,110.3614126494,107.6056,110.1531,112.7006,-0.1067,0.016,-0.1227,61.6969,77.1965,7.6969,33524300,-0.0701262801,Reversal,NoReversal,Reversal,Down,NoReversal,0.0082334727,Reversal
1998-06-22,111.0625,110.0625,110.25,110.5936965942,5438300,76.118522644,110.3920897776,110.3835394002,107.6136,110.1203,112.627,-0.0742,0.0388,-0.113,71.6756,70.4729,30.4446,38962600,0.0085503774,Reversal,NoReversal,Reversal,Up,NoReversal,-0.0048031363,Reversal
1998-06-23,112.0625,111,111.0936965942,111.9061965942,5004600,77.0219039917,110.8967920498,110.528580883,107.6388,110.2422,112.8455,0.0568,0.1359,-0.079,74.1103,74.6615,96.6603,43967200,0.3682111668,Up,NoReversal,Up,Up,NoReversal,-0.011728573,Up
1998-06-24,113.6875,111.6092987061,112.1561965942,113.4061965942,8291900,78.0543289185,111.7332602313,110.8026848537,107.5054,110.4312,113.357,0.2785,0.286,-0.0075,76.9565,85.7351,154.3059,52259100,0.9305753776,Up,NoReversal,Up,Up,Reversal,-0.0132267905,Up
1998-06-25,114.4375,112.8125,113.9061965942,113.2186965942,5854800,77.9252853394,112.2284056856,111.0328156444,107.4236,110.5859,113.7482,0.434,0.3532,0.0808,82.503,87.1125,160.4326,46404300,1.1955900412,Up,NoReversal,Up,Down,Reversal,0.0016560869,Up
1998-06-26,113.8436965942,113.125,113.3125,113.6875,4833100,78.2479553223,112.7147704571,111.2856769582,107.4686,110.8187,114.1689,0.5883,0.406,0.1823,85.4611,83.5357,141.3616,51237400,1.4290934989,Up,NoReversal,Up,Up,Reversal,-0.0041236143,Up
1998-06-29,114.6875,113.7967987061,114.25,114.0936965942,5953400,78.5274963379,113.1744125028,111.5531401603,107.4651,111.0468,114.6286,0.7349,0.4421,0.2928,83.7081,80.4761,152.8377,57190800,1.6212723425,Up,NoReversal,Up,Up,Reversal,-0.0035602019,Up
1998-06-30,114.1875,113.0625,113.9061965942,113.3125,4284800,77.9898376465,113.2204416685,111.7207168112,107.5822,111.2312,114.8802,0.7791,0.389,0.3901,79.3467,74.0284,106.9638,52906000,1.4997248573,Up,NoReversal,Up,Down,Reversal,0.0068941784,Up
1998-07-01,114.9375,113.625,114.0625,114.625,3489500,78.8931808472,113.688627779,111.9973429465,107.9756,111.5687,115.1618,0.9095,0.4156,0.494,76.4484,74.8407,132.2123,56395500,1.6912848325,Up,NoReversal,Up,Up,Reversal,-0.0114503817,Up
1998-07-02,114.875,114.25,114.7186965942,114.8436965942,3503900,79.0437393188,114.0736507174,112.2684488403,108.0442,111.8172,115.5901,1.0188,0.4199,0.5989,75.8033,78.5408,128.9468,59899400,1.8052018771,Up,NoReversal,Up,Up,Reversal,-0.0019042978,Up
1998-07-06,116,114.5625,114.7811965942,116,3144400,79.8395462036,114.7157671449,112.6238638367,107.8258,112.0172,116.2085,1.185,0.4689,0.7161,82.2706,93.4304,143.996,63043800,2.0919033083,Up,NoReversal,Up,Up,Reversal,-0.0099681328,Up
1998-07-07,116.125,115.2811965942,115.9842987061,115.7811965942,4920700,79.6889724731,115.0709102947,112.9245845263,107.7131,112.2125,116.7118,1.2843,0.4545,0.8298,88.8538,94.5903,128.9183,58123100,2.1463257684,Up,NoReversal,Up,Down,Reversal,0.0018898009,Up
1998-07-08,116.9375,115.75,115.875,116.625,6875000,80.2697143555,115.5889401965,113.2770287277,107.5395,112.4328,117.3261,1.4148,0.468,0.9468,93.7113,93.1133,131.8804,64998100,2.3119114688,Up,NoReversal,Up,Up,Reversal,-0.0072351846,Up
1998-07-09,116.7186965942,115.625,116.2811965942,115.8436965942,6942500,79.7319641113,115.6738589957,113.5214881469,107.5599,112.65,117.74,1.4385,0.3934,1.0451,89.0834,79.5467,105.6806,58055600,2.1523708488,Up,NoReversal,Up,Down,Reversal,0.006744462,Up
